epoch,error_train,error_val
0,0.48083623693379796,0.560718432542272
1,0.16666666666666663,0.28786694632959753
2,0.11290322580645162,0.2304188118351999
3,0.08024691358024694,0.21716693063443887
4,0.10655737704918034,0.22789831237989802
5,0.128,0.2207901448100753
6,0.0826446280991735,0.19693426982715492
7,0.10563380281690138,0.22297363066029957
8,0.11976047904191611,0.24538803789350286
9,0.09467455621301779,0.23552536271125984
10,0.11309523809523814,0.22762901020126028
11,0.10650887573964496,0.2018108437291164
12,0.17692307692307696,0.33788422399202206
13,0.21052631578947367,0.29161532907380394
14,0.21739130434782605,0.3052497853328745
